0;0;0;0;land;false;unknown;0
1;142;162;214;land;false;desert;1
2;200;220;110;land;false;mountain;1
3;34;234;252;land;false;hills;1
4;140;189;202;land;false;forest;1
5;238;234;182;land;false;desert;1
6;217;192;202;land;false;desert;1
7;229;239;120;land;true;forest;1
8;252;149;192;land;true;mountain;1
9;249;63;232;land;false;plains;1
10;228;238;139;land;false;desert;1
11;198;206;173;land;false;desert;1
12;209;191;239;land;false;desert;1
13;246;153;132;land;false;desert;1
14;195;216;235;land;false;hills;1
15;242;249;91;land;false;hills;1
16;232;81;242;land;false;hills;1
17;93;253;247;land;true;plains;1
18;190;206;251;land;false;jungle;1
19;120;233;225;land;false;desert;1
20;186;165;198;land;false;mountain;1
21;238;214;114;land;false;plains;1
22;218;237;239;land;false;plains;1
23;224;237;144;land;false;mountain;1
24;235;45;240;land;false;hills;1
25;163;230;183;land;false;plains;1
26;238;219;156;land;false;mountain;1
27;223;125;246;land;false;forest;1
28;196;112;207;land;true;forest;1
29;241;205;61;land;false;forest;1
30;184;202;139;land;false;forest;1
31;157;199;240;land;false;desert;1
32;148;224;224;land;false;plains;1
33;163;142;208;land;false;desert;1
34;227;114;232;land;false;mountain;1
35;190;107;234;land;false;desert;1
36;243;216;130;land;false;hills;1
37;252;231;55;land;false;mountain;1
38;218;224;188;land;false;mountain;1
39;187;251;101;land;false;desert;1
40;176;226;167;land;false;mountain;1
41;168;189;184;land;false;forest;1
42;208;69;230;land;false;forest;1
43;181;241;224;land;false;desert;1
44;188;200;197;land;false;hills;1
45;244;174;109;land;false;jungle;1
46;149;219;218;land;false;desert;1
47;169;201;180;land;false;forest;1
48;243;182;163;land;true;hills;1
49;213;50;248;land;true;hills;1
50;188;222;103;land;false;forest;1
51;107;247;228;land;false;hills;1
52;248;136;197;land;false;mountain;1
53;94;245;190;land;false;plains;1
54;178;115;226;land;false;mountain;1
55;248;221;239;land;true;desert;1
56;147;166;188;land;false;desert;1
57;124;154;241;land;false;hills;1
58;239;178;192;land;false;plains;1
59;205;161;234;land;false;plains;1
60;213;211;94;land;false;desert;1
61;149;206;254;land;false;desert;1
62;20;249;238;land;false;mountain;1
63;164;242;217;land;false;mountain;1
64;97;231;248;land;false;mountain;1
65;182;245;219;land;false;desert;1
66;153;157;200;land;false;mountain;1
67;253;135;242;land;false;mountain;1
68;212;219;133;land;false;hills;1
69;129;159;254;land;false;mountain;1
70;188;105;230;land;false;jungle;1
71;185;210;221;land;false;hills;1
72;196;167;172;land;false;desert;1
73;165;244;103;land;true;plains;1
74;211;164;190;land;false;desert;1
75;190;179;138;land;false;forest;1
76;177;232;145;land;true;desert;1
77;192;201;164;land;false;desert;1
78;120;254;231;land;false;desert;1
79;239;132;203;land;false;hills;1
80;207;45;250;land;false;jungle;1
81;154;224;178;land;false;desert;1
82;179;183;201;land;false;desert;1
83;148;209;205;land;false;mountain;1
84;244;170;112;land;false;mountain;1
85;207;227;72;land;false;desert;1
86;169;203;194;land;false;desert;1
87;245;103;171;land;false;desert;1
