88;arms_factory;2582.00;10.90;1057.00;1.83;0
88;arms_factory;2597.00;10.75;1053.00;5.95;0
88;arms_factory;2595.00;10.82;1066.00;2.68;0
88;arms_factory;2582.00;10.95;1059.00;3.90;0
88;arms_factory;2594.00;10.95;1056.00;1.73;0
88;arms_factory;2601.00;10.98;1068.00;4.40;0
88;industrial_complex;2602.00;10.65;1053.00;5.96;0
88;industrial_complex;2583.00;10.90;1048.00;2.34;0
88;industrial_complex;2599.00;10.98;1071.00;0.18;0
88;industrial_complex;2600.00;10.70;1057.00;1.39;0
88;industrial_complex;2581.00;10.73;1051.00;4.40;0
88;industrial_complex;2586.00;11.00;1065.00;0.79;0
88;air_base;2603.00;10.55;1060.00;4.91;0
88;bunker;2579.00;11.28;1073.00;0.18;0
88;bunker;2576.00;10.57;1052.00;2.85;0
88;bunker;2607.00;10.88;1072.00;0.69;0
88;bunker;2584.00;10.88;1047.00;1.90;0
88;bunker;2574.00;10.95;1063.00;4.91;0
88;bunker;2592.00;10.98;1068.00;1.29;0
88;bunker;2602.00;10.68;1062.00;3.96;0
88;bunker;2593.00;10.85;1063.00;0.34;0
88;bunker;2599.00;10.70;1053.00;3.36;0
88;bunker;2593.00;10.90;1055.00;4.57;0
88;bunker;2605.00;10.57;1065.00;2.41;0
88;anti_air_building;2590.00;10.95;1063.00;0.25;0
88;anti_air_building;2597.00;10.85;1058.00;0.35;0
88;anti_air_building;2578.00;11.20;1071.00;4.47;0
88;synthetic_refinery;2590.00;11.00;1065.00;0.85;0
88;fuel_silo;2580.00;10.73;1056.00;3.87;0
88;radar_station;2590.00;10.95;1063.00;0.36;0
88;rocket_site;2606.00;10.78;1071.00;2.92;0
88;nuclear_reactor;2587.00;10.95;1058.00;5.58;0
188;arms_factory;2570.00;10.85;1064.00;2.86;0
188;arms_factory;2555.00;11.90;1076.00;5.52;0
188;arms_factory;2552.00;11.85;1084.00;1.90;0
188;arms_factory;2554.00;11.88;1081.00;6.03;0
188;arms_factory;2574.00;11.45;1078.00;1.31;0
188;arms_factory;2569.00;11.70;1076.00;3.97;0
188;industrial_complex;2569.00;11.85;1080.00;1.81;0
188;industrial_complex;2562.00;11.55;1089.00;4.47;0
188;industrial_complex;2559.00;11.48;1087.00;6.03;0
188;industrial_complex;2562.00;10.90;1065.00;2.41;0
188;industrial_complex;2567.00;10.80;1062.00;0.26;0
188;industrial_complex;2553.00;11.75;1084.00;0.36;0
188;air_base;2555.00;11.82;1081.00;4.48;0
188;bunker;2552.00;12.00;1078.00;0.86;0
188;bunker;2558.00;11.07;1067.00;3.52;0
188;bunker;2570.00;11.70;1076.00;0.26;0
188;bunker;2551.00;11.68;1068.00;2.93;0
188;bunker;2572.00;11.60;1083.00;5.59;0
188;bunker;2556.00;11.40;1089.00;1.97;0
188;bunker;2564.00;11.45;1073.00;4.99;0
188;bunker;2563.00;10.90;1066.00;6.20;0
188;anti_air_building;2548.00;12.00;1082.00;4.04;0
188;anti_air_building;2553.00;12.00;1078.00;0.42;0
188;anti_air_building;2571.00;11.68;1076.00;3.44;0
188;synthetic_refinery;2569.00;11.55;1074.00;4.64;0
188;fuel_silo;2568.00;11.25;1071.00;2.48;0
188;radar_station;2563.00;11.65;1075.00;4.99;0
188;rocket_site;2557.00;11.50;1085.00;0.43;0
188;nuclear_reactor;2570.00;10.80;1062.00;4.55;0
1;arms_factory;3444.00;10.35;2012.00;1.96;0
1;arms_factory;3221.00;11.20;972.00;6.08;0
1;arms_factory;3322.00;11.62;1943.00;6.18;0
1;arms_factory;3299.00;10.23;798.00;4.02;0
1;arms_factory;3251.00;11.10;1989.00;0.41;0
1;arms_factory;3235.00;12.48;1958.00;3.07;0
1;industrial_complex;3468.00;11.80;1895.00;6.09;0
1;industrial_complex;3307.00;11.95;1937.00;2.47;0
1;industrial_complex;3262.00;10.25;821.00;5.13;0
1;industrial_complex;3381.00;10.20;1971.00;1.52;0
1;industrial_complex;3295.00;10.15;806.00;4.54;0
1;industrial_complex;3257.00;10.85;2000.00;5.74;0
